sku,store,categories,attribute_set,type,color,size,name,simples_skus,configurable_attributes,description,short_description,special_price,qty,is_in_stock,manage_stock,status,visibility,tax_class_id,thumbnail,thumbnail_label,image,small_image,media_gallery,min_qty,min_sale_qty,max_sale_qty,notify_stock_qty,msrp_enabled,country_of_manufacture,meta_description,meta_keyword,meta_title,upc,ipc,division_code,class,class_description,collection,collection_description,selling_period,type_group,type_name,type_description,group,country_of_origin,package,length,width,height,weight,is_gift_card,product_code,composition,manufacturer,rn_number,hts_code,visual_stock_id,cost,price,msrp,stock_code,product_category,safety_qty,at_sell
C566N,fr,Enfants/Youth/Asics Shoes/Running,Default,configurable,,,Gel Contend 3 Gs,"887749960310,887749960334,887749960358,887749960365,887749960372,887749960389,887749960396,887749960402,887749960419,887749960433,887749960570,887749960594,887749960617,887749960624,887749960631,887749960648,887749960655,887749960662,887749960679,887749960686,887749960693,889436138033,889436138057,889436138064,889436138071,889436138088,889436138095,889436138101,889436138118,889436138125,889436138132,889436138149,889436138156","color,size",<p>Gel Contend 3 Gs</p>,Gel Contend 3 Gs,,63,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12696.jpg,C566N_9001_f,http://app.visual-2000.com/imageapi/asicserp8_12696.jpg,http://app.visual-2000.com/imageapi/asicserp3_12696.jpg,http://app.visual-2000.com/imageapi/asicserp8_12696.jpg::C566N_9001_f,0,1,0,1,1,,<p>Gel Contend 3 Gs</p>,,Gel Contend 3 Gs,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Running,Running,Fall 2015,D,Pour Enfants,Pour Enfants,1A030301,,Unite,0,0,0,0,0,C566N,,,,,5,0,38.5,69.99,WEB,REG,0,63
C600N,fr,Enfants/Youth/Asics Shoes/Running,Default,configurable,,,Gel Nimbus 18 Gs,"889436138590,889436138606,889436138613,889436138620,889436138644,889436138651,889436138668,889436138675,889436138682,889436138699,889436138705,889436138712,889436138729,889436138736,889436138743,889436138750,889436138767,889436138774,889436138781,889436138798,889436138804,889436138811,889436138828,889436138842","color,size",<p>Gel Nimbus 18 Gs</p>,Gel Nimbus 18 Gs,,46,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12129.jpg,c600n_4301_f,http://app.visual-2000.com/imageapi/asicserp8_12129.jpg,http://app.visual-2000.com/imageapi/asicserp3_12129.jpg,http://app.visual-2000.com/imageapi/asicserp8_12129.jpg::c600n_4301_f,0,1,0,1,1,,<p>Gel Nimbus 18 Gs</p>,,Gel Nimbus 18 Gs,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Running,Running,Spring 2016,D,Pour Enfants,Pour Enfants,1A030301,,Unite,0,0,0,0,0,C600N,,,,,5,0,60,119.99,WEB,REG,0,46
C584N,fr,Enfants/Youth/Asics Shoes/Running,Default,configurable,,,Gel Venture 5 Gs,"887749899542,887749899559,887749899566,887749899573,887749899580,887749899597,887749899603,887749899610,887749899627,887749899634,887749899641,887749899658,887749899665,887749899689,887749899702,887749899726,887749899733,887749899740,887749899757,887749899764,887749899771,887749899788,887749899795,887749899856,887749899863,887749899870,887749899894,887749899900,887749899931,887749899948,887749899955,887749899962,887749899979,887749899986,887749899993,887749900002,887749900019,887749900026,887749900033,887749900040,887749900057","color,size",<p>Gel Venture 5 Gs</p>,Gel Venture 5 Gs,,76,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_13399.jpg,C584N_9767_RT,http://app.visual-2000.com/imageapi/asicserp8_13399.jpg,http://app.visual-2000.com/imageapi/asicserp3_13399.jpg,http://app.visual-2000.com/imageapi/asicserp8_13399.jpg::C584N_9767_RT,0,1,0,1,1,,<p>Gel Venture 5 Gs</p>,,Gel Venture 5 Gs,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Running,Running,Fall 2015,D,Pour Enfants,Pour Enfants,1A030301,,Unite,0,0,0,0,0,C584N,,,,,5,0,41.25,74.99,WEB,REG,0,76
C564N,fr,Enfants/Youth/Asics Shoes/Running,Default,configurable,,,Pre-Contend 3 Ps,"887749960044,887749960051,887749960068,887749960075,887749960082,887749960099,887749960112,887749960129,889436137609,889436137623,889436137630,889436137654,889436137661,889436137685,889436137692,889436137708,889436137715,889436137746,889436137760","color,size",<p>Pre-Contend 3 Ps</p>,Pre-Contend 3 Ps,,33,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12694.jpg,C564N_9001_f,http://app.visual-2000.com/imageapi/asicserp8_12694.jpg,http://app.visual-2000.com/imageapi/asicserp3_12694.jpg,http://app.visual-2000.com/imageapi/asicserp8_12694.jpg::C564N_9001_f,0,1,0,1,1,,<p>Pre-Contend 3 Ps</p>,,Pre-Contend 3 Ps,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Running,Running,Fall 2015,D,Pour Enfants,Pour Enfants,1A030301,,Unite,0,0,0,0,0,C564N,,,,,5,0,35.75,64.99,WEB,REG,0,33
C554N,fr,Enfants/Youth/Asics Shoes/Structured Cushioning,Default,configurable,,,Gel Kayano 22 GS,"887749958225,887749958232,887749958249,887749958256,887749958263,887749958270","color,size",<p>Gel Kayano 22 GS</p>,Gel Kayano 22 GS,,12,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_11166.jpg,c554n_4001_0000000000_f_l_primary,http://app.visual-2000.com/imageapi/asicserp8_11166.jpg,http://app.visual-2000.com/imageapi/asicserp3_11166.jpg,http://app.visual-2000.com/imageapi/asicserp8_11166.jpg::c554n_4001_0000000000_f_l_primary,0,1,0,1,1,,<p>Gel Kayano 22 GS</p>,,"kids, structured Cushioning, youth, junior",,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Structured Cushioning,Structured Cushioning,Fall 2015,D,Pour Enfants,Pour Enfants,1A030301,,Unite,0,0,0,0,0,C554N,,,,,5,0,70,139.99,WEB,REG,0,12
ZC2245,fr,Femmes/Women's/Asics Accessories/Performance Headwear,Default,configurable,,,Chauffe-T�te Polar Felicity,887749825275,"color,size",<p>Chauffe-T�te Polar Felicity</p>,Chauffe-T�te Polar Felicity,,2,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_9631.jpg,zc2245_90_a_f_primary,http://app.visual-2000.com/imageapi/asicserp8_9631.jpg,http://app.visual-2000.com/imageapi/asicserp3_9631.jpg,http://app.visual-2000.com/imageapi/asicserp8_9631.jpg::zc2245_90_a_f_primary,0,1,0,1,1,,<p>Chauffe-T�te Polar Felicity</p>,,Felicity Fleece Headwarmer,,,HOUSE,Accessories,Accessories,Performance Headwear,Performance Headwear,Fall 2014,D,Pour Femmes,Pour Femmes,3A030403,,Unite,0,0,0,0,0,ZC2245,,,,,5,0,12.5,24.99,WEB,REG,0,2
ZC1930,fr,Femmes/Women's/Asics Accessories/Performance Headwear,Default,configurable,,,Prot�ge-Cou Thermopolis Lt 2-En-1,887749825343,"color,size",<p>Prot�ge-Cou Thermopolis Lt 2-En-1</p>,Prot�ge-Cou Thermopolis Lt 2-En-1,,10,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_9618.jpg,zc1930_9092_a_z5_althalf5,http://app.visual-2000.com/imageapi/asicserp8_9618.jpg,http://app.visual-2000.com/imageapi/asicserp3_9618.jpg,http://app.visual-2000.com/imageapi/asicserp8_9618.jpg::zc1930_9092_a_z5_althalf5,0,1,0,1,1,,<p>Prot�ge-Cou Thermopolis Lt 2-En-1</p>,,Thermopolis Lt 2-N-1 Neck Gaiter,,,HOUSE,Accessories,Accessories,Performance Headwear,Performance Headwear,Fall 2014,D,Pour Femmes,Pour Femmes,3A030403,,Unite,0,0,0,0,0,ZC1930,,,,,5,0,12.5,24.99,WEB,REG,0,10
ZK2024,fr,Femmes/Women's/Asics Accessories/Socks,Default,configurable,,,Socquette Languette Simple Hera Deux,"887749166453,887749166460,887749166477,887749597509,887749597516,887749597523","color,size",<p>Socquette Languette Simple Hera Deux</p>,Socquette Languette Simple Hera Deux,,28,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_10842.jpg,zk2024_0340_0010212355_a_f_primary,http://app.visual-2000.com/imageapi/asicserp8_10842.jpg,http://app.visual-2000.com/imageapi/asicserp3_10842.jpg,http://app.visual-2000.com/imageapi/asicserp8_10842.jpg::zk2024_0340_0010212355_a_f_primary,0,1,0,1,1,,<p>Socquette Languette Simple Hera Deux</p>,,Hera Deux Single Tab,,,HOUSE,Accessories,Accessories,Socks,Socks,Spring 2014,D,Pour Femmes,Pour Femmes,3A030402,,Unite,0,0,0,0,0,ZK2024,,,,,5,0,8,15.99,WEB,REG,0,28
WU2074,fr,Femmes/Women's/Asics Apparels/Bra,Default,configurable,,,Brassi�re Ajust�e Asics,"887749402360,887749402377,887749402384,887749402391,887749402407","color,size",<p>Brassi�re Ajust�e Asics</p>,Brassi�re Ajust�e Asics,,8,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_11627.jpg,wu2074_4002_0010222862_q_f_primary,http://app.visual-2000.com/imageapi/asicserp8_11627.jpg,http://app.visual-2000.com/imageapi/asicserp3_11627.jpg,http://app.visual-2000.com/imageapi/asicserp8_11627.jpg::wu2074_4002_0010222862_q_f_primary,0,1,0,1,1,,<p>Brassi�re Ajust�e Asics</p>,,Asics Adjust Bra,,,HOUSE,Clothing Only,Clothing Only,Bra,Bra,Fall 2014,D,Pour Femmes,Pour Femmes,2A030402,,Unite,0,0,0,0,0,WU2074,,,,,5,0,25,49.99,WEB,REG,0,8
WS2581,fr,Femmes/Women's/Asics Apparels/Core,Default,configurable,,,F.Cuissard Court,"887749769272,887749769289,887749769296,887749769302,887749769319","color,size",<p>F.Cuissard Court</p>,F.Cuissard Court,,8,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_11614.jpg,ws2581_8124_0010239142_q_f_primary,http://app.visual-2000.com/imageapi/asicserp8_11614.jpg,http://app.visual-2000.com/imageapi/asicserp3_11614.jpg,http://app.visual-2000.com/imageapi/asicserp8_11614.jpg::ws2581_8124_0010239142_q_f_primary,0,1,0,1,1,,<p>F.Cuissard Court</p>,,W.Hot Pant,,,HOUSE,Clothing Only,Clothing Only,Core,Core,Spring 2015,D,Pour Femmes,Pour Femmes,2A030201,,Unite,0,0,0,0,0,WS2581,,,,,5,0,20,39.99,WEB,REG,0,8
