sku,store,categories,attribute_set,type,color,size,name,simples_skus,configurable_attributes,description,short_description,special_price,qty,is_in_stock,manage_stock,status,visibility,tax_class_id,thumbnail,thumbnail_label,image,small_image,media_gallery,min_qty,min_sale_qty,max_sale_qty,notify_stock_qty,msrp_enabled,country_of_manufacture,meta_description,meta_keyword,meta_title,upc,ipc,division_code,class,class_description,collection,collection_description,selling_period,type_group,type_name,type_description,group,country_of_origin,package,length,width,height,weight,is_gift_card,product_code,composition,manufacturer,rn_number,hts_code,visual_stock_id,cost,price,msrp,stock_code,product_category,safety_qty,at_sell
887749960310,default,Enfants/Youth/Asics Shoes/Running,Default,simple,3487 Hot Pink Pistachio Coral,1||1,Gel Contend 3 Gs,,,<p>Gel Contend 3 Gs</p>,Gel Contend 3 Gs,,2,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12696.jpg,C566N_9001_f,http://app.visual-2000.com/imageapi/asicserp8_12696.jpg,http://app.visual-2000.com/imageapi/asicserp3_12696.jpg,http://app.visual-2000.com/imageapi/asicserp8_12696.jpg::C566N_9001_f,0,1,0,0,0,,<p>Gel Contend 3 Gs</p>,,Gel Contend 3 Gs,887749960310,0015200395850101,HOUSE,Asics Shoes,Tout Style Asics Chaussures,Running,Running,Fall 2015,D,Enfants/Youth,Pour Enfants,1A030301,,Each,0,0,0,0,0,C566N,,,,,5,0,38.5,69.99,WEB,REG,0,2
887749960334,default,Enfants/Youth/Asics Shoes/Running,Default,simple,3487 Hot Pink Pistachio Coral,2||3,Gel Contend 3 Gs,,,<p>Gel Contend 3 Gs</p>,Gel Contend 3 Gs,,2,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12696.jpg,C566N_9001_f,http://app.visual-2000.com/imageapi/asicserp8_12696.jpg,http://app.visual-2000.com/imageapi/asicserp3_12696.jpg,http://app.visual-2000.com/imageapi/asicserp8_12696.jpg::C566N_9001_f,0,1,0,0,0,,<p>Gel Contend 3 Gs</p>,,Gel Contend 3 Gs,887749960334,0015200395850103,HOUSE,Asics Shoes,Tout Style Asics Chaussures,Running,Running,Fall 2015,D,Enfants/Youth,Pour Enfants,1A030301,,Each,0,0,0,0,0,C566N,,,,,5,0,38.5,69.99,WEB,REG,0,2
887749960358,default,Enfants/Youth/Asics Shoes/Running,Default,simple,3487 Hot Pink Pistachio Coral,3||5,Gel Contend 3 Gs,,,<p>Gel Contend 3 Gs</p>,Gel Contend 3 Gs,,2,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12696.jpg,C566N_9001_f,http://app.visual-2000.com/imageapi/asicserp8_12696.jpg,http://app.visual-2000.com/imageapi/asicserp3_12696.jpg,http://app.visual-2000.com/imageapi/asicserp8_12696.jpg::C566N_9001_f,0,1,0,0,0,,<p>Gel Contend 3 Gs</p>,,Gel Contend 3 Gs,887749960358,0015200395850105,HOUSE,Asics Shoes,Tout Style Asics Chaussures,Running,Running,Fall 2015,D,Enfants/Youth,Pour Enfants,1A030301,,Each,0,0,0,0,0,C566N,,,,,5,0,38.5,69.99,WEB,REG,0,2
887749960365,default,Enfants/Youth/Asics Shoes/Running,Default,simple,3487 Hot Pink Pistachio Coral,3H||6,Gel Contend 3 Gs,,,<p>Gel Contend 3 Gs</p>,Gel Contend 3 Gs,,2,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12696.jpg,C566N_9001_f,http://app.visual-2000.com/imageapi/asicserp8_12696.jpg,http://app.visual-2000.com/imageapi/asicserp3_12696.jpg,http://app.visual-2000.com/imageapi/asicserp8_12696.jpg::C566N_9001_f,0,1,0,0,0,,<p>Gel Contend 3 Gs</p>,,Gel Contend 3 Gs,887749960365,0015200395850106,HOUSE,Asics Shoes,Tout Style Asics Chaussures,Running,Running,Fall 2015,D,Enfants/Youth,Pour Enfants,1A030301,,Each,0,0,0,0,0,C566N,,,,,5,0,38.5,69.99,WEB,REG,0,2
887749960372,default,Enfants/Youth/Asics Shoes/Running,Default,simple,3487 Hot Pink Pistachio Coral,4||7,Gel Contend 3 Gs,,,<p>Gel Contend 3 Gs</p>,Gel Contend 3 Gs,,2,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12696.jpg,C566N_9001_f,http://app.visual-2000.com/imageapi/asicserp8_12696.jpg,http://app.visual-2000.com/imageapi/asicserp3_12696.jpg,http://app.visual-2000.com/imageapi/asicserp8_12696.jpg::C566N_9001_f,0,1,0,0,0,,<p>Gel Contend 3 Gs</p>,,Gel Contend 3 Gs,887749960372,0015200395850107,HOUSE,Asics Shoes,Tout Style Asics Chaussures,Running,Running,Fall 2015,D,Enfants/Youth,Pour Enfants,1A030301,,Each,0,0,0,0,0,C566N,,,,,5,0,38.5,69.99,WEB,REG,0,2
887749960389,default,Enfants/Youth/Asics Shoes/Running,Default,simple,3487 Hot Pink Pistachio Coral,4H||8,Gel Contend 3 Gs,,,<p>Gel Contend 3 Gs</p>,Gel Contend 3 Gs,,2,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12696.jpg,C566N_9001_f,http://app.visual-2000.com/imageapi/asicserp8_12696.jpg,http://app.visual-2000.com/imageapi/asicserp3_12696.jpg,http://app.visual-2000.com/imageapi/asicserp8_12696.jpg::C566N_9001_f,0,1,0,0,0,,<p>Gel Contend 3 Gs</p>,,Gel Contend 3 Gs,887749960389,0015200395850108,HOUSE,Asics Shoes,Tout Style Asics Chaussures,Running,Running,Fall 2015,D,Enfants/Youth,Pour Enfants,1A030301,,Each,0,0,0,0,0,C566N,,,,,5,0,38.5,69.99,WEB,REG,0,2
887749960396,default,Enfants/Youth/Asics Shoes/Running,Default,simple,3487 Hot Pink Pistachio Coral,5||9,Gel Contend 3 Gs,,,<p>Gel Contend 3 Gs</p>,Gel Contend 3 Gs,,2,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12696.jpg,C566N_9001_f,http://app.visual-2000.com/imageapi/asicserp8_12696.jpg,http://app.visual-2000.com/imageapi/asicserp3_12696.jpg,http://app.visual-2000.com/imageapi/asicserp8_12696.jpg::C566N_9001_f,0,1,0,0,0,,<p>Gel Contend 3 Gs</p>,,Gel Contend 3 Gs,887749960396,0015200395850109,HOUSE,Asics Shoes,Tout Style Asics Chaussures,Running,Running,Fall 2015,D,Enfants/Youth,Pour Enfants,1A030301,,Each,0,0,0,0,0,C566N,,,,,5,0,38.5,69.99,WEB,REG,0,2
887749960402,default,Enfants/Youth/Asics Shoes/Running,Default,simple,3487 Hot Pink Pistachio Coral,5H||10,Gel Contend 3 Gs,,,<p>Gel Contend 3 Gs</p>,Gel Contend 3 Gs,,2,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12696.jpg,C566N_9001_f,http://app.visual-2000.com/imageapi/asicserp8_12696.jpg,http://app.visual-2000.com/imageapi/asicserp3_12696.jpg,http://app.visual-2000.com/imageapi/asicserp8_12696.jpg::C566N_9001_f,0,1,0,0,0,,<p>Gel Contend 3 Gs</p>,,Gel Contend 3 Gs,887749960402,0015200395850110,HOUSE,Asics Shoes,Tout Style Asics Chaussures,Running,Running,Fall 2015,D,Enfants/Youth,Pour Enfants,1A030301,,Each,0,0,0,0,0,C566N,,,,,5,0,38.5,69.99,WEB,REG,0,2
887749960419,default,Enfants/Youth/Asics Shoes/Running,Default,simple,3487 Hot Pink Pistachio Coral,6||11,Gel Contend 3 Gs,,,<p>Gel Contend 3 Gs</p>,Gel Contend 3 Gs,,2,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12696.jpg,C566N_9001_f,http://app.visual-2000.com/imageapi/asicserp8_12696.jpg,http://app.visual-2000.com/imageapi/asicserp3_12696.jpg,http://app.visual-2000.com/imageapi/asicserp8_12696.jpg::C566N_9001_f,0,1,0,0,0,,<p>Gel Contend 3 Gs</p>,,Gel Contend 3 Gs,887749960419,0015200395850111,HOUSE,Asics Shoes,Tout Style Asics Chaussures,Running,Running,Fall 2015,D,Enfants/Youth,Pour Enfants,1A030301,,Each,0,0,0,0,0,C566N,,,,,5,0,38.5,69.99,WEB,REG,0,2
887749960433,default,Enfants/Youth/Asics Shoes/Running,Default,simple,3487 Hot Pink Pistachio Coral,7||13,Gel Contend 3 Gs,,,<p>Gel Contend 3 Gs</p>,Gel Contend 3 Gs,,2,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12696.jpg,C566N_9001_f,http://app.visual-2000.com/imageapi/asicserp8_12696.jpg,http://app.visual-2000.com/imageapi/asicserp3_12696.jpg,http://app.visual-2000.com/imageapi/asicserp8_12696.jpg::C566N_9001_f,0,1,0,0,0,,<p>Gel Contend 3 Gs</p>,,Gel Contend 3 Gs,887749960433,0015200395850113,HOUSE,Asics Shoes,Tout Style Asics Chaussures,Running,Running,Fall 2015,D,Enfants/Youth,Pour Enfants,1A030301,,Each,0,0,0,0,0,C566N,,,,,5,0,38.5,69.99,WEB,REG,0,2
